央視频临,#genre#

CCTV-01频临,http://m.061899.xyz/mg/cctv1
CCTV-02频临,http://m.061899.xyz/mg/cctv2
CCTV-03频临,http://m.061899.xyz/mg/cctv3
CCTV-04频临,http://m.061899.xyz/mg/cctv4
CCTV-05频临,http://m.061899.xyz/mg/cctv5
CCTV-5+频临,http://m.061899.xyz/mg/cctv5p
CCTV-06频临,http://m.061899.xyz/mg/cctv6
CCTV-07频临,http://m.061899.xyz/mg/cctv7
CCTV-08频临,http://m.061899.xyz/mg/cctv8
CCTV-09频临,http://m.061899.xyz/mg/cctv9
CCTV-10频临,http://m.061899.xyz/mg/cctv10
CCTV-11频临,http://m.061899.xyz/mg/cctv11
CCTV-12频临,http://m.061899.xyz/mg/cctv12
CCTV-13频临,http://m.061899.xyz/mg/cctv13
CCTV-14频临,http://m.061899.xyz/mg/cctv14
CCTV-15频临,http://m.061899.xyz/mg/cctv15
CCTV-16频临,http://m.061899.xyz/mg/cctv16
CCTV-17频临,http://m.061899.xyz/mg/cctv17
cctv'美洲频临,http://m.061899.xyz/mg/cctv4m
cctv'欧洲频临,http://m.061899.xyz/mg/cctv4o
CETV-01频临,http://m.061899.xyz/mg/cetv1
CETV-02频临,http://m.061899.xyz/mg/cetv2
CETV-04频临,http://m.061899.xyz/mg/cetv4



卫視频临,#genre#

凤凰中文频标,http://m.061899.xyz/mg/fhzw
凤凰资讯频标,http://m.061899.xyz/mg/fhzx
凤凰香港频标,http://m.061899.xyz/mg/fhhk
北京卫视频临,http://m.061899.xyz/mg/bjws
东方卫视频临,http://m.061899.xyz/mg/dfws
浙江卫视频临,http://m.061899.xyz/mg/zjws
江苏卫视频临,http://m.061899.xyz/mg/jsws
湖南卫视频临,http://m.061899.xyz/mg/hunws
广东卫视频临,http://m.061899.xyz/mg/gdws
深圳卫视频临,http://m.061899.xyz/mg/szws
天津卫视频临,http://m.061899.xyz/mg/tjws
安徽卫视频临,http://m.061899.xyz/mg/ahws
山东卫视频临,http://m.061899.xyz/mg/sdws
河北卫视频临,http://m.061899.xyz/mg/hbws
河南卫视频临,http://m.061899.xyz/mg/hnws
江西卫视频临,http://m.061899.xyz/mg/jxws
四川卫视频临,http://m.061899.xyz/mg/scws
重庆卫视频临,http://m.061899.xyz/mg/cqws
贵州卫视频临,http://m.061899.xyz/mg/gzws
湖北卫视频临,http://m.061899.xyz/mg/hubws
广西卫视频临,http://m.061899.xyz/mg/gxws
东南卫视频临,http://m.061899.xyz/mg/dnws
海南卫视频临,http://m.061899.xyz/mg/hinws
甘肃卫视频临,http://m.061899.xyz/mg/gsws
青海卫视频临,http://m.061899.xyz/mg/qhws
陕西卫视频临,http://m.061899.xyz/mg/sxws
宁夏卫视频临,http://m.061899.xyz/mg/nxws
新疆卫视频临,http://m.061899.xyz/mg/xjws
西藏卫视频临,http://m.061899.xyz/mg/xzws
兵团卫视频临,http://m.061899.xyz/mg/btws
吉林卫视频临,http://m.061899.xyz/mg/jlws
内蒙古视频临,http://m.061899.xyz/mg/nmgws
黑龙江视频临,http://m.061899.xyz/mg/hljws




综合频临,#genre#
重温经典频临,http://m.061899.xyz/mg/cwjd
劲爆体育频临,http://m.061899.xyz/mg/jbty
咪咕体育频临,http://m.061899.xyz/mg/mgty
家庭影院频临,http://m.061899.xyz/mg/jtyy
动作电影频临,http://m.061899.xyz/mg/dzdy
影迷电影频临,http://m.061899.xyz/mg/ymdy
东方影视频临,http://m.061899.xyz/mg/shys
东方纪实频临,http://m.061899.xyz/mg/xjs
红色轮播频临,http://m.061899.xyz/mg/hslb
金色剧场频临,http://m.061899.xyz/mg/jsjc
乡村振兴频临,http://m.061899.xyz/mg/xczx
